Mustafa Kemal Paşa 28 Ekim gecesi arkadaşlarını toplayarak sorunun gerçek çözümüyle ilgili düşüncesini açıkladı	8	sorun	n	problemin	
Delillerin hepsini ustalıkla yok eden katil olay yerinden yaya olarak uzaklaşmış.	0	delil	n	kanıtların	
Osmanlı'nın yıkılmasıyla kent, özellikle Balkanlar'dan göç almıştır.	2	kent	n	şehir	
Oraya kadar yayan gidilmez, otobüse binelim.	2	yayan	adv	yürüyerek	adv??
Gazeteler vakit vakit bir meseleyi öne sürerler.	4	mesele	n	konuyu	
Onun nutkundan sonra bu meselenin artık münakaşa edilmemesi, bitmesi lazımdı.	1	nutuk	n	söylevinden	
Mühimmat depolarında ve cephaneliklerde savaş makineleri kalibre edilir, teçhiz edilir ve dağın aşağısındaki imal thanelerde test edilirdi. 	0	mühimmat	n	Silah	case sensitivity ???
Her bilimsel çalışmada, üzerinde çalışılan konuyu sistemli bir analiz için sınıflandırma ve düzenleme konusunda çeşitli yöntemler mevcuttur. 	16	mevcut	v? n?	vardır, bulunur	isim fiiller n mi v mi??
İzleme, denetleme ve değerlendirme mekanizmaları etkin hale getirilerek, hem mevcut hem yeni yardım programlarının AB'nin devlet yardımları ile ilgili mevzuatına uyumlu olması sağlanacaktır.	9	mevcut	a	varolan, halihazırdaki	
Seni bu derece derin bir ızdıraba, karanlık bir yeise düşüren şey nedir?	8	yeis	n	üzüntüye	
Seni bu derece derin bir ızdıraba, karanlık bir yeise düşüren şey nedir?	5	ızdırap	n	acıya	
Akşam gazetesi, yurt aydınlarıyla konuşarak bizde niçin yazar yetişmediğinin sebeplerini araştırdı.	3	aydın	n	entelektüelleriyle	
Olaylar esnasında tazyikli su, kısa mesafeli biber gazı atışları ve plastik kurşunlardan dolayı 43'ü ağır 4177 kişi yaralanmıştır.	2	tazyikli	a	basınçlı	
Güvenlik güçlerimiz, görevlerini yerine getirirken her zamankinden daha fazla ihtimam göstermeli, müdahalelerinde ölçülü olmaya dikkat etmeli, üzücü görüntülerin ortaya çıkmasına izin vermemelidir.	2	görev	n	vazifelerini	
Güvenlik güçlerinin müdahalelerinde yanlışlık olduğunu kabul ettiğini söyledi.	3	yanlışlık	n	hata	
Salford Üniversitesi Performans Okulu'nda müzik ve iletişim üzerine eğitimini tamamlamıştır	8	eğitim	n	tahsilini	
Sturgess toplamda on üç dizide ve birçok sinema filminde başrol oyuncusu ve konuk oyuncu olarak rol almıştır.	12	konuk	n	misafir	
" Cahit Sıtkı Tarancı'ya göre şiir ""Kelimelerle güzel şekiller kurma sanatıdır""."	5	kelime	n	sözcüklerle	
Söz ile musiki arasında olan fakat sözden ziyade musikiye yakın olan bir lisan	6	söz	n	güfteden	
Karabük’e atanması üzerine, çalışma hayatını öykülerini yayımlamakta olduğu Cumhuriyet gazetesinde sürdürdü.	5	öykü	n	hikayelerini	
Cirque du Soleil’in elemanı Guyard-Guillot 50 fit yükseklikten düşerek hayatını kaybetti	9	hayat	n	yaşamını	- 'leri napıyoruz? ben birleştirerek saydım.
Ülkede nüfus yaşlandıkça Çin medyasında ‘ihmal edilen yaşlı insanlar’ haberleri de artıyor. 	7	yaşlı	a	ihtiyar	
Bu yasa da Çin’de giderek yaşlanan nüfusun getirdiği sorunları gidermeyi amaçlıyor.	9	gider	v	çözmeyi, yok etmeyi	
Bu yasa da Çin’de giderek yaşlanan nüfusun getirdiği sorunları gidermeyi amaçlıyor.	8	sorun	n	problemleri	
